source,type,value,malware_family,country,tags,confidence,timestamp,pulse_name
threatfox,url,https://marblejunction.top/redirect/middleware-validator.js,js.smartapesg,URL that delivers a malware payload,SmartApeSG,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,domain,qmnldei.akhlagheslami.xyz,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,domain,dguldnys.restaurantguideaarhus.com,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,ip:port,193.233.202.16:3389,win.cobalt_strike,ip:port combination that is used for botnet Command&control (C&C),"c2,erebus-v13,nation-state-hunter,t1059_003,t1573_002",94,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,92.53.241.179:443,win.sliver,ip:port combination that is used for botnet Command&control (C&C),"c2,erebus-v13,nation-state-hunter,t1071_001,t1573_001",86,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,domain,ykjqdm.bankefile.com,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,domain,rqwkms23.anodaz.store,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,ip:port,154.91.75.78:777,win.valley_rat,ip:port combination that is used for botnet Command&control (C&C),valleyrat_s2,75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,domain,vzyeissn.rial.bet,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,domain,sjowpfe.akhlageslami.xyz,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,domain,ouqzmwvg.jamjahani.football,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,ip:port,8.148.201.210:10553,win.cobalt_strike,ip:port combination that is used for botnet Command&control (C&C),"CobaltStrike,drb-ra",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,38.76.164.56:8083,win.cobalt_strike,ip:port combination that is used for botnet Command&control (C&C),"CobaltStrike,drb-ra",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,38.14.248.138:8085,win.cobalt_strike,ip:port combination that is used for botnet Command&control (C&C),"CobaltStrike,drb-ra",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,185.92.190.214:5896,win.cobalt_strike,ip:port combination that is used for botnet Command&control (C&C),"CobaltStrike,drb-ra",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,185.92.190.215:5896,win.cobalt_strike,ip:port combination that is used for botnet Command&control (C&C),"CobaltStrike,drb-ra",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,185.92.190.215:8896,win.cobalt_strike,ip:port combination that is used for botnet Command&control (C&C),"CobaltStrike,drb-ra",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,185.92.190.216:5896,win.cobalt_strike,ip:port combination that is used for botnet Command&control (C&C),"CobaltStrike,drb-ra",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,185.92.190.217:5896,win.cobalt_strike,ip:port combination that is used for botnet Command&control (C&C),"CobaltStrike,drb-ra",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,185.92.190.213:5896,win.cobalt_strike,ip:port combination that is used for botnet Command&control (C&C),"CobaltStrike,drb-ra",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,185.92.190.213:8896,win.cobalt_strike,ip:port combination that is used for botnet Command&control (C&C),"CobaltStrike,drb-ra",75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,domain,azj9wm5k.fununetadris.shop,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,domain,euggvtxb.fununetadris.shop,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,domain,llonnk.bankefile.com,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,domain,aomfziar.shartplus.bet,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,url,https://www.mhsbm.gi/,unknown,URL that delivers a malware payload,ClickFix,90,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,sha256_hash,2e6fbd142bd5622d2415adbb479d091d322e2f28e91ddc20e3f8b59a26b42a73,unknown,SHA256 hash of a malware sample (payload),,50,unknown,Indicator that identifies a malware sample (payload)
threatfox,url,https://sam.glamisdunesrentals.com/,win.vidar,URL that is used for botnet Command&control (C&C),Vidar,100,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,domain,sam.gagahsm188.top,win.vidar,Domain that is used for botnet Command&control (C&C),Vidar,100,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,url,https://sam.gagahsm188.top/,win.vidar,URL that is used for botnet Command&control (C&C),Vidar,100,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,domain,sam.glamisdunesrentals.com,win.vidar,Domain that is used for botnet Command&control (C&C),Vidar,100,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,ip:port,176.65.139.50:443,elf.mirai,ip:port combination that is used for botnet Command&control (C&C),Mirai,75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,domain,boldthrives.com,js.iclickfix,Domain name that delivers a malware payload,"ClickFix,js",50,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,domain,xqbzvgfy.red90.casino,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,sha256_hash,99cfd8d9b8ebba0d7cf8527eb0b63eb920fa6898f6971c53df833a85415714f6,unknown,SHA256 hash of a malware sample (payload),,50,unknown,Indicator that identifies a malware sample (payload)
threatfox,sha256_hash,4a4c286c2ee27df4c0ca597b2568986689f8fb5d0b325fdc2cf45af560b80c97,unknown,SHA256 hash of a malware sample (payload),,50,unknown,Indicator that identifies a malware sample (payload)
threatfox,sha256_hash,7b2314d6af6b3df7723dbd88439b29fb990e8133cba441c76b9683b68a5adfd1,unknown,SHA256 hash of a malware sample (payload),,50,unknown,Indicator that identifies a malware sample (payload)
threatfox,sha256_hash,5a3953fc874c19e45eb8ae6479e1bca3214f8c3e828d38681b68ed4652a6fa83,unknown,SHA256 hash of a malware sample (payload),,50,unknown,Indicator that identifies a malware sample (payload)
threatfox,sha256_hash,e96dc227d4e82d1c261eff41081e1ec8de4bbcbb7e26f989f4ab10c955b93312,unknown,SHA256 hash of a malware sample (payload),,50,unknown,Indicator that identifies a malware sample (payload)
threatfox,sha256_hash,21ec3bd2644b08eb5dfea8718c98a786f11aaceb041bfa29fa550b70dc763e02,unknown,SHA256 hash of a malware sample (payload),,50,unknown,Indicator that identifies a malware sample (payload)
threatfox,sha256_hash,336cee203c92efe8a8067f9c3ad71e3d7fd2d7231e6bce8381d5ec0243bf1e60,unknown,SHA256 hash of a malware sample (payload),,50,unknown,Indicator that identifies a malware sample (payload)
threatfox,sha256_hash,6c6d2bc2d895c9e0b8946c0d1ad5611632e479eecb481031e5f3744e1a6f65b0,unknown,SHA256 hash of a malware sample (payload),,50,unknown,Indicator that identifies a malware sample (payload)
threatfox,sha256_hash,04a93feba4c974ab3c7fe203d68f78bc3b8b395492fdecc0b3fefadfd74dcac4,unknown,SHA256 hash of a malware sample (payload),,50,unknown,Indicator that identifies a malware sample (payload)
threatfox,sha256_hash,86ad203b4dfcd43bdc93bea91e9fc01b613e4fa755fcf3b298e8d1e74e168009,unknown,SHA256 hash of a malware sample (payload),,50,unknown,Indicator that identifies a malware sample (payload)
threatfox,domain,yovejfu.amlakshahri.xyz,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,sha256_hash,af4bf0887368a86ea9b3efc1c215c1e59c663de1288777b67246c4b641897bd3,unknown,SHA256 hash of a malware sample (payload),,50,unknown,Indicator that identifies a malware sample (payload)
threatfox,sha256_hash,54202d955f19f8d721408471a906211833843624ecdca03ace14824c2b041d82,unknown,SHA256 hash of a malware sample (payload),,50,unknown,Indicator that identifies a malware sample (payload)
threatfox,domain,krezxpiv.jamjahani2026.football,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,url,https://saffronecho.top/redirect/gateway-util,js.smartapesg,URL that delivers a malware payload,SmartApeSG,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
threatfox,sha256_hash,5903092322871269cb4c72fd4bc706a7d7c6a12c4422e92d7729cb082a6013f8,unknown,SHA256 hash of a malware sample (payload),,50,unknown,Indicator that identifies a malware sample (payload)
threatfox,sha256_hash,4183648bf9b7677843bb02cbdd90602b0708e3f76bc2f8e3d0bd805df3bedeeb,unknown,SHA256 hash of a malware sample (payload),,50,unknown,Indicator that identifies a malware sample (payload)
threatfox,ip:port,5.101.81.159:8443,win.purelogs,ip:port combination that is used for botnet Command&control (C&C),PureLogsStealer,75,unknown,Indicator that identifies a botnet command&control server (C&C)
threatfox,domain,tdfzyex.amoozeshagazade.shop,js.clearfake,Domain name that delivers a malware payload,ClearFake,100,unknown,Indicator that identifies a malware distribution server (payload delivery)
