source,type,value,malware_family,country,tags,confidence,timestamp,pulse_name,domain,severity,is_ip,tag_count
mitre_attack,attack_technique,T1496.002,Bandwidth Hijacking,global,impact,100,unknown,Bandwidth Hijacking,T1496.002,critical,0,1
mitre_attack,attack_technique,T1087,Account Discovery,global,discovery,100,unknown,Account Discovery,T1087,critical,0,1
mitre_attack,attack_technique,T1090,Proxy,global,command-and-control,100,unknown,Proxy,T1090,critical,0,1
mitre_attack,attack_technique,T1059,Command and Scripting Interpreter,global,execution,100,unknown,Command and Scripting Interpreter,T1059,critical,0,1
mitre_attack,attack_technique,T1204.005,Malicious Library,global,execution,100,unknown,Malicious Library,T1204.005,critical,0,1
mitre_attack,attack_technique,T1685.005,Clear Windows Event Logs,global,defense-impairment,100,unknown,Clear Windows Event Logs,T1685.005,critical,0,1
mitre_attack,attack_technique,T1136.002,Domain Account,global,persistence,100,unknown,Domain Account,T1136.002,critical,0,1
mitre_attack,attack_technique,T1564.014,Extended Attributes,global,stealth,100,unknown,Extended Attributes,T1564.014,critical,0,1
mitre_attack,attack_technique,T1589.003,Employee Names,global,reconnaissance,100,unknown,Employee Names,T1589.003,critical,0,1
mitre_attack,attack_technique,T1677,Poisoned Pipeline Execution,global,execution,100,unknown,Poisoned Pipeline Execution,T1677,critical,0,1
mitre_attack,attack_technique,T1482,Domain Trust Discovery,global,discovery,100,unknown,Domain Trust Discovery,T1482,critical,0,1
mitre_attack,attack_technique,T1558.001,Golden Ticket,global,credential-access,100,unknown,Golden Ticket,T1558.001,critical,0,1
mitre_attack,attack_technique,T1175,Component Object Model and Distributed COM,global,"lateral-movement,execution",100,unknown,Component Object Model and Distributed COM,T1175,critical,0,2
mitre_attack,attack_technique,T1020,Automated Exfiltration,global,exfiltration,100,unknown,Automated Exfiltration,T1020,critical,0,1
mitre_attack,attack_technique,T1592.004,Client Configurations,global,reconnaissance,100,unknown,Client Configurations,T1592.004,critical,0,1
mitre_attack,attack_technique,T1219.001,IDE Tunneling,global,command-and-control,100,unknown,IDE Tunneling,T1219.001,critical,0,1
mitre_attack,attack_technique,T1036.002,Right-to-Left Override,global,stealth,100,unknown,Right-to-Left Override,T1036.002,critical,0,1
mitre_attack,attack_technique,T1588.001,Malware,global,resource-development,100,unknown,Malware,T1588.001,critical,0,1
mitre_attack,attack_technique,T1027.017,SVG Smuggling,global,stealth,100,unknown,SVG Smuggling,T1027.017,critical,0,1
mitre_attack,attack_technique,T1542.002,Component Firmware,global,"stealth,persistence",100,unknown,Component Firmware,T1542.002,critical,0,2
mitre_attack,attack_technique,T1070,Indicator Removal,global,stealth,100,unknown,Indicator Removal,T1070,critical,0,1
mitre_attack,attack_technique,T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,global,exfiltration,100,unknown,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,T1048.001,critical,0,1
mitre_attack,attack_technique,T1137.001,Office Template Macros,global,persistence,100,unknown,Office Template Macros,T1137.001,critical,0,1
mitre_attack,attack_technique,T1583.003,Virtual Private Server,global,resource-development,100,unknown,Virtual Private Server,T1583.003,critical,0,1
mitre_attack,attack_technique,T1213.001,Confluence,global,collection,100,unknown,Confluence,T1213.001,critical,0,1
mitre_attack,attack_technique,T1550.003,Pass the Ticket,global,lateral-movement,100,unknown,Pass the Ticket,T1550.003,critical,0,1
mitre_attack,attack_technique,T1609,Container Administration Command,global,execution,100,unknown,Container Administration Command,T1609,critical,0,1
mitre_attack,attack_technique,T1083,File and Directory Discovery,global,discovery,100,unknown,File and Directory Discovery,T1083,critical,0,1
mitre_attack,attack_technique,T1568,Dynamic Resolution,global,command-and-control,100,unknown,Dynamic Resolution,T1568,critical,0,1
mitre_attack,attack_technique,T1036.004,Masquerade Task or Service,global,stealth,100,unknown,Masquerade Task or Service,T1036.004,critical,0,1
mitre_attack,attack_technique,T1055.004,Asynchronous Procedure Call,global,"stealth,privilege-escalation",100,unknown,Asynchronous Procedure Call,T1055.004,critical,0,2
mitre_attack,attack_technique,T1020.001,Traffic Duplication,global,exfiltration,100,unknown,Traffic Duplication,T1020.001,critical,0,1
mitre_attack,attack_technique,T1647,Plist File Modification,global,defense-impairment,100,unknown,Plist File Modification,T1647,critical,0,1
mitre_attack,attack_technique,T1127.003,JamPlus,global,"stealth,execution",100,unknown,JamPlus,T1127.003,critical,0,2
mitre_attack,attack_technique,T1546.009,AppCert DLLs,global,"privilege-escalation,persistence",100,unknown,AppCert DLLs,T1546.009,critical,0,2
mitre_attack,attack_technique,T1114.003,Email Forwarding Rule,global,collection,100,unknown,Email Forwarding Rule,T1114.003,critical,0,1
mitre_attack,attack_technique,T1074,Data Staged,global,collection,100,unknown,Data Staged,T1074,critical,0,1
mitre_attack,attack_technique,T1649,Steal or Forge Authentication Certificates,global,credential-access,100,unknown,Steal or Forge Authentication Certificates,T1649,critical,0,1
mitre_attack,attack_technique,T1098.005,Device Registration,global,"persistence,privilege-escalation",100,unknown,Device Registration,T1098.005,critical,0,2
mitre_attack,attack_technique,T1049,System Network Connections Discovery,global,discovery,100,unknown,System Network Connections Discovery,T1049,critical,0,1
mitre_attack,attack_technique,T1584,Compromise Infrastructure,global,resource-development,100,unknown,Compromise Infrastructure,T1584,critical,0,1
mitre_attack,attack_technique,T1553.005,Mark-of-the-Web Bypass,global,defense-impairment,100,unknown,Mark-of-the-Web Bypass,T1553.005,critical,0,1
mitre_attack,attack_technique,T1600.002,Disable Crypto Hardware,global,defense-impairment,100,unknown,Disable Crypto Hardware,T1600.002,critical,0,1
mitre_attack,attack_technique,T1542,Pre-OS Boot,global,"stealth,persistence",100,unknown,Pre-OS Boot,T1542,critical,0,2
mitre_attack,attack_technique,T1064,Scripting,global,"stealth,execution",100,unknown,Scripting,T1064,critical,0,2
mitre_attack,attack_technique,T1612,Build Image on Host,global,stealth,100,unknown,Build Image on Host,T1612,critical,0,1
mitre_attack,attack_technique,T1051,Shared Webroot,global,lateral-movement,100,unknown,Shared Webroot,T1051,critical,0,1
mitre_attack,attack_technique,T1055.002,Portable Executable Injection,global,"stealth,privilege-escalation",100,unknown,Portable Executable Injection,T1055.002,critical,0,2
mitre_attack,attack_technique,T1218.012,Verclsid,global,stealth,100,unknown,Verclsid,T1218.012,critical,0,1
mitre_attack,attack_technique,T1586,Compromise Accounts,global,resource-development,100,unknown,Compromise Accounts,T1586,critical,0,1
mitre_attack,attack_technique,T1569.001,Launchctl,global,execution,100,unknown,Launchctl,T1569.001,critical,0,1
mitre_attack,attack_technique,T1584.005,Botnet,global,resource-development,100,unknown,Botnet,T1584.005,critical,0,1
mitre_attack,attack_technique,T1059.008,Network Device CLI,global,execution,100,unknown,Network Device CLI,T1059.008,critical,0,1
mitre_attack,attack_technique,T1552.003,Shell History,global,credential-access,100,unknown,Shell History,T1552.003,critical,0,1
mitre_attack,attack_technique,T1559.003,XPC Services,global,execution,100,unknown,XPC Services,T1559.003,critical,0,1
mitre_attack,attack_technique,T1497,Virtualization/Sandbox Evasion,global,"stealth,discovery",100,unknown,Virtualization/Sandbox Evasion,T1497,critical,0,2
mitre_attack,attack_technique,T1102,Web Service,global,command-and-control,100,unknown,Web Service,T1102,critical,0,1
mitre_attack,attack_technique,T1552.001,Credentials In Files,global,credential-access,100,unknown,Credentials In Files,T1552.001,critical,0,1
mitre_attack,attack_technique,T1568.003,DNS Calculation,global,command-and-control,100,unknown,DNS Calculation,T1568.003,critical,0,1
mitre_attack,attack_technique,T1218.005,Mshta,global,stealth,100,unknown,Mshta,T1218.005,critical,0,1
mitre_attack,attack_technique,T1547.015,Login Items,global,"persistence,privilege-escalation",100,unknown,Login Items,T1547.015,critical,0,2
mitre_attack,attack_technique,T1608,Stage Capabilities,global,resource-development,100,unknown,Stage Capabilities,T1608,critical,0,1
mitre_attack,attack_technique,T1608.005,Link Target,global,resource-development,100,unknown,Link Target,T1608.005,critical,0,1
mitre_attack,attack_technique,T1104,Multi-Stage Channels,global,command-and-control,100,unknown,Multi-Stage Channels,T1104,critical,0,1
mitre_attack,attack_technique,T1657,Financial Theft,global,impact,100,unknown,Financial Theft,T1657,critical,0,1
mitre_attack,attack_technique,T1480,Execution Guardrails,global,stealth,100,unknown,Execution Guardrails,T1480,critical,0,1
mitre_attack,attack_technique,T1619,Cloud Storage Object Discovery,global,discovery,100,unknown,Cloud Storage Object Discovery,T1619,critical,0,1
mitre_attack,attack_technique,T1606.001,Web Cookies,global,credential-access,100,unknown,Web Cookies,T1606.001,critical,0,1
mitre_attack,attack_technique,T1654,Log Enumeration,global,discovery,100,unknown,Log Enumeration,T1654,critical,0,1
mitre_attack,attack_technique,T1134.001,Token Impersonation/Theft,global,"stealth,privilege-escalation",100,unknown,Token Impersonation/Theft,T1134.001,critical,0,2
mitre_attack,attack_technique,T1567.001,Exfiltration to Code Repository,global,exfiltration,100,unknown,Exfiltration to Code Repository,T1567.001,critical,0,1
mitre_attack,attack_technique,T1021.007,Cloud Services,global,lateral-movement,100,unknown,Cloud Services,T1021.007,critical,0,1
mitre_attack,attack_technique,T1205.001,Port Knocking,global,"stealth,persistence,command-and-control",100,unknown,Port Knocking,T1205.001,critical,0,3
mitre_attack,attack_technique,T1027.012,LNK Icon Smuggling,global,stealth,100,unknown,LNK Icon Smuggling,T1027.012,critical,0,1
mitre_attack,attack_technique,T1583.006,Web Services,global,resource-development,100,unknown,Web Services,T1583.006,critical,0,1
mitre_attack,attack_technique,T1528,Steal Application Access Token,global,credential-access,100,unknown,Steal Application Access Token,T1528,critical,0,1
mitre_attack,attack_technique,T1598.002,Spearphishing Attachment,global,reconnaissance,100,unknown,Spearphishing Attachment,T1598.002,critical,0,1
mitre_attack,attack_technique,T1098.001,Additional Cloud Credentials,global,"persistence,privilege-escalation",100,unknown,Additional Cloud Credentials,T1098.001,critical,0,2
mitre_attack,attack_technique,T1204,User Execution,global,execution,100,unknown,User Execution,T1204,critical,0,1
mitre_attack,attack_technique,T1491.001,Internal Defacement,global,impact,100,unknown,Internal Defacement,T1491.001,critical,0,1
mitre_attack,attack_technique,T1564.002,Hidden Users,global,stealth,100,unknown,Hidden Users,T1564.002,critical,0,1
mitre_attack,attack_technique,T1134.003,Make and Impersonate Token,global,"stealth,privilege-escalation",100,unknown,Make and Impersonate Token,T1134.003,critical,0,2
mitre_attack,attack_technique,T1552.006,Group Policy Preferences,global,credential-access,100,unknown,Group Policy Preferences,T1552.006,critical,0,1
mitre_attack,attack_technique,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,global,exfiltration,100,unknown,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,T1048.002,critical,0,1
mitre_attack,attack_technique,T1087.004,Cloud Account,global,discovery,100,unknown,Cloud Account,T1087.004,critical,0,1
mitre_attack,attack_technique,T1683.002,Audio-Visual Content,global,resource-development,100,unknown,Audio-Visual Content,T1683.002,critical,0,1
mitre_attack,attack_technique,T1057,Process Discovery,global,discovery,100,unknown,Process Discovery,T1057,critical,0,1
mitre_attack,attack_technique,T1053.004,Launchd,global,"execution,persistence,privilege-escalation",100,unknown,Launchd,T1053.004,critical,0,3
mitre_attack,attack_technique,T1556.008,Network Provider DLL,global,"defense-impairment,persistence,credential-access",100,unknown,Network Provider DLL,T1556.008,critical,0,3
mitre_attack,attack_technique,T1546.003,Windows Management Instrumentation Event Subscription,global,"privilege-escalation,persistence",100,unknown,Windows Management Instrumentation Event Subscription,T1546.003,critical,0,2
mitre_attack,attack_technique,T1596.004,CDNs,global,reconnaissance,100,unknown,CDNs,T1596.004,critical,0,1
mitre_attack,attack_technique,T1497.002,User Activity Based Checks,global,"stealth,discovery",100,unknown,User Activity Based Checks,T1497.002,critical,0,2
mitre_attack,attack_technique,T1496.004,Cloud Service Hijacking,global,impact,100,unknown,Cloud Service Hijacking,T1496.004,critical,0,1
mitre_attack,attack_technique,T1585.003,Cloud Accounts,global,resource-development,100,unknown,Cloud Accounts,T1585.003,critical,0,1
mitre_attack,attack_technique,T1072,Software Deployment Tools,global,"execution,lateral-movement",100,unknown,Software Deployment Tools,T1072,critical,0,2
mitre_attack,attack_technique,T1041,Exfiltration Over C2 Channel,global,exfiltration,100,unknown,Exfiltration Over C2 Channel,T1041,critical,0,1
mitre_attack,attack_technique,T1134.004,Parent PID Spoofing,global,"stealth,privilege-escalation",100,unknown,Parent PID Spoofing,T1134.004,critical,0,2
mitre_attack,attack_technique,T1591,Gather Victim Org Information,global,reconnaissance,100,unknown,Gather Victim Org Information,T1591,critical,0,1
mitre_attack,attack_technique,T1606,Forge Web Credentials,global,credential-access,100,unknown,Forge Web Credentials,T1606,critical,0,1
mitre_attack,attack_technique,T1621,Multi-Factor Authentication Request Generation,global,credential-access,100,unknown,Multi-Factor Authentication Request Generation,T1621,critical,0,1
mitre_attack,attack_technique,T1554,Compromise Host Software Binary,global,persistence,100,unknown,Compromise Host Software Binary,T1554,critical,0,1
mitre_attack,attack_technique,T1552.008,Chat Messages,global,credential-access,100,unknown,Chat Messages,T1552.008,critical,0,1
mitre_attack,attack_technique,T1059.001,PowerShell,global,execution,100,unknown,PowerShell,T1059.001,critical,0,1
mitre_attack,attack_technique,T1546.001,Change Default File Association,global,"privilege-escalation,persistence",100,unknown,Change Default File Association,T1546.001,critical,0,2
mitre_attack,attack_technique,T1055.014,VDSO Hijacking,global,"stealth,privilege-escalation",100,unknown,VDSO Hijacking,T1055.014,critical,0,2
mitre_attack,attack_technique,T1026,Multiband Communication,global,command-and-control,100,unknown,Multiband Communication,T1026,critical,0,1
mitre_attack,attack_technique,T1071.002,File Transfer Protocols,global,command-and-control,100,unknown,File Transfer Protocols,T1071.002,critical,0,1
mitre_attack,attack_technique,T1679,Selective Exclusion,global,stealth,100,unknown,Selective Exclusion,T1679,critical,0,1
mitre_attack,attack_technique,T1212,Exploitation for Credential Access,global,credential-access,100,unknown,Exploitation for Credential Access,T1212,critical,0,1
mitre_attack,attack_technique,T1546.014,Emond,global,"privilege-escalation,persistence",100,unknown,Emond,T1546.014,critical,0,2
mitre_attack,attack_technique,T1102.003,One-Way Communication,global,command-and-control,100,unknown,One-Way Communication,T1102.003,critical,0,1
mitre_attack,attack_technique,T1590,Gather Victim Network Information,global,reconnaissance,100,unknown,Gather Victim Network Information,T1590,critical,0,1
mitre_attack,attack_technique,T1210,Exploitation of Remote Services,global,lateral-movement,100,unknown,Exploitation of Remote Services,T1210,critical,0,1
mitre_attack,attack_technique,T1534,Internal Spearphishing,global,lateral-movement,100,unknown,Internal Spearphishing,T1534,critical,0,1
